,State Abbreviation,State
0,AA,Armed Forces America
1,AE,Armed Forces
2,AK,Alaska
3,AL,Alabama
4,AP,Armed Forces Pacific
5,AR,Arkansas
6,AZ,Arizona
7,CA,California
8,CO,Colorado
9,CT,Connecticut
10,DC,Washington DC
11,DE,Delaware
12,FL,Florida
13,GA,Georgia
14,GU,Guam
15,HI,Hawaii
16,IA,Iowa
17,ID,Idaho
18,IL,Illinois
19,IN,Indiana
20,KS,Kansas
21,KY,Kentucky
22,LA,Louisiana
23,MA,Massachusetts
24,MD,Maryland
25,ME,Maine
26,MI,Michigan
27,MN,Minnesota
28,MO,Missouri
29,MS,Mississippi
30,MT,Montana
31,NC,North Carolina
32,ND,North Dakota
33,NE,Nebraska
34,NH,New Hampshire
35,NJ,New Jersey
36,NM,New Mexico
37,NV,Nevada
38,NY,New York
39,OH,Ohio
40,OK,Oklahoma
41,OR,Oregon
42,PA,Pennsylvania
43,PR,Puerto Rico
44,RI,Rhode Island
45,SC,South Carolina
46,SD,South Dakota
47,TN,Tennessee
48,TX,Texas
49,UT,Utah
50,VA,Virginia
51,VI,Virgin Islands
52,VT,Vermont
53,WA,Washington
54,WI,Wisconsin
55,WV,West Virginia
56,WY,Wyoming
